plot_name,usda_key,height_class,cover,#_of_individuals,page,notes
A3X-10,MIRE,1,3,,1,
A3X-10,VAPA,1,2,,1,
A3X-10,PRSE2,1,0.1,2,1,
A3X-10,HAVI,1,2,2,1,
A3X-10,ACRU,1,0.1,1,1,
A3X-10,NYSY,1,1,,1,
A3X-10,FT,1,8,,1,
A3X-10,HAVI,2,7,,1,
A3X-10,NYSY,2,3,,1,
A3X-10,HAVI,3,40,,1,
A3X-10,FT,2,10,,1,
A3X-10,FT,3,40,,1,
A3X-9,THPA,1,5,,1,
A3X-9,QURU,1,0.1,1,1,
A3X-9,MIRE,1,0.1,,1,
A3X-9,VAPA,1,6,,1,
A3X-9,SAAL,1,1,1,1,
A3X-9,ACRU,1,0.1,1,1,
A3X-9,HAVI,1,13,,1,
A3X-9,MOSS,1,0.1,,1,
A3X-9,FT,1,23,,1,
A3X-9,HAVI,2,16,,1,
A3X-9,FT,2,16,,1,
A3X-9,FT,3,0,,1,
A4X-8,THPA,1,17,,1,
A4X-8,OSCL,1,2,,1,
A4X-8,DEPU,1,2,,1,
A4X-8,MOSS,1,12,,1,
A4X-8,MEVI,1,3,,1,
A4X-8,CHMA,1,0.1,,1,
A4X-8,POAC,1,0.1,,1,
A4X-8,HAVI,1,1,4,1,
A4X-8,UVSE,1,13,,1,
A4X-8,ACRU,1,1,4,1,
A4X-8,QUMO,1,1,1,1,
A4X-8,CAALE,1,0.1,,1,
A4X-8,URDI,1,0.1,,1,
A4X-8,SAAL,1,1,1,1,
A4X-8,FRAM,1,0.1,1,1,
A4X-8,FT,1,45,,1,
A4X-8,FT,2,0,,1,
A4X-8,FT,3,0,,1,
A3X-7,GABA,1,10,,2,
A3X-7,VAPA,1,3,,2,
A3X-7,POAC,1,3,,2,
A3X-7,UVSE,1,3,,2,
A3X-7,ACRU,1,0.1,3,2,
A3X-7,MIRE,1,0.1,,2,
A3X-7,CACA,1,0.1,1,2,
A3X-7,MOSS,1,1,,2,
A3X-7,FT,1,20,,2,
A3X-7,FT,2,0,,2,
A3X-7,FT,3,0,,2,
A3X-6,CAALE,1,0.1,,2,
A3X-6,CASW,1,0.1,,2,
A3X-6,MOSS,1,7,,2,
A3X-6,ACRU,1,0.1,4,2,
A3X-6,NYSY,1,1,3,2,
A3X-6,UVSE,1,3,,2,
A3X-6,HAVI,1,1,3,2,
A3X-6,MIRE,1,3,,2,
A3X-6,EUDI,1,1,,2,
A3X-6,VAPA,1,0.1,,2,
A3X-6,CACA,1,0.1,1,2,
A3X-6,PRSE2,1,0.1,1,2,
A3X-6,FRAM,1,0.1,3,2,
A3X-6,FT,1,15,,2,
A3X-5,UVSE,1,0.1,,2,
A3X-5,EUDI,1,0.1,,2,
A3X-5,OSVI,1,3,1,2,
A3X-5,ACRU,1,0.1,1,2,
A3X-5,ARTR,1,0.1,,2,
A3X-5,SORU,1,0.1,,2,
A3X-5,POSI2,1,4,,2,
A3X-5,VIBL,1,2,,2,
A3X-5,VIOLA SPP.,1,1,,2,
A3X-5,JUNEUS,1,1,,2,
A3X-5,QUMO,1,0.1,1,2,
A3X-5,POAC,1,0.1,,2,
A3X-5,FT,1,12,,2,
A3X-5,HAVI,3,15,,2,
A3X-5,FT,3,15,,2,
